record_id,title,release_date,director,studio,country,subgenre,runtime,mpaa_rating,budget_usd,box_office_usd,user_score,vote_count
1067,Dracula,1931-02-18,Tod Browning,universal,U.S.A.,Found Footage,84 min,R,"$300,000",471267,5.6,449328
4841,Parasite,2019/05/05,Bong Joon-ho,CJ Entertainment,South Korea,Folk Horror,81,G,$1500000,"$469,037",6.5,29240
1859,Blood and Black Lace,6/27/1964,Mario Bava,Emmepi Cinematografica,ITALY,Gothic|Giallo,2h 23m,NC-17,$120000,"215,381",8.4,363922
3417,The Sixth Sense,1999/03/08,M. Night Shyamalan,Buena Vista,us,Comedy Horror,157min,,300000,"$3,957,945",5.3,229184
4916,Titane,2021/04/22,Julia Ducournau,NEON,france,Werewolf,98,,20000000,"191,227,230",4.7,467588
1804,The Birds,1963-04-09,Alfred Hitchcock,UNIVERSAL,USA ,Slasher|Psychological,106 min,PG-13,"$3,000,000",34881029,5.2,243633
1647,Black Sunday,08/28/1960,Mario Bava,Galatea Film,ITALY,Supernatural|Psychological,1h 53m,NC-17,"$50,000",$426793,6.5,20786
3765,shaun of the dead,22-01-2004,Edgar Wright,Universal Pictures,UK,Cosmic Horror,74,PG-13,"$10,000,000",USD 73150220,8.6,58240
1449,Godzilla,09/01/1954,Ishiro Honda,toho,Japan,Cosmic Horror,160min,PG-13,6000000,,7.4,390558
4818,parasite,2019-02-15,Bong Joon-ho,CJ Entertainment,Korea,Folk Horror,1h 21m,G,"1,500,000",USD 469037,6.5,416479
5043,Talk to Me,09-04-2022,Danny Philippou,A24,Australia,Psychological,122,NC-17,$35000000,USD 386552466,7.5,286891
2028,Night of the Living Dead,15-09-1968,George Romero,Image Ten,United States,Zombie,108,G,"1,500,000","19,103,735",8.1,79285
2033,Night of the Living Dead,4/23/1968,,Image Ten,USA ,Zombie,108 min,,1500000,"19,103,735",8.1,172804
1643,Psycho,27-06-1960,Alfred Hitchcock,paramount,USA ,Supernatural,162,PG-13,$120000,USD 1526242,6.9,352391
1875,Onibaba,10-04-1964,Kaneto Shindo,Toho,Japan,Supernatural|Found Footage,90,PG,$35000000,"$254,458,145",6.4,42656
2161,The Exorcist,05/11/1973,William Friedkin,WARNER BROS.,USA,Haunted House|Vampire,105 min,PG,,$3109059,7.9,194598
1975,Kill Baby Kill,6/20/1966,Mario Bava,FUL Films,italy,Vampire,72min,,$6000000,$49406007,6.1,150877
3411,The Sixth Sense,1999-03-18,M. Night Shyamalan,Buena Vista,USA ,Comedy Horror,157min,G,,$3957945,5.3,200597
5262,The Fog,1980-04-06,John Carpenter,Avco Embassy,USA ,Vampire,102min,,,"3,085,118",4.7,189592
1901,Kwaidan,1964-09-23,Masaki Kobayashi,Toho Co.,JAPAN,Comedy Horror|Gothic,152min,PG-13,"$50,000",USD 403655,6.6,362236
2506,ALIEN,8/21/1979,Ridley Scott,20th Century Fox,England,Occult|Creature Feature,116min,G,10000000,"15,461,470",6.4,281925
3647,Dark Water,2002/07/07,Hideo Nakata,Toho Co.,Japan,Comedy Horror,157 min,R,750000,"$8,030,796",5.4,62904
1362,  The Thing from Another World ,02-10-1951,Christian Nyby,RKO Radio Pictures,U.S.A.,Giallo|Creature Feature,81,Unrated,,"36,116",8.5,367638
3977,REC,9/18/2007,Jaume Balaguero,Filmax,Spain,Zombie,144,PG,"$20,000,000","$126,904,732",7.4,142757
2433,house,7/7/1977,Nobuhiko Obayashi,Toho,Nippon,Creature Feature,2h 37m,Not Rated,"$120,000",,8.3,110730
2574,THE BROOD,03/11/1979,David Cronenberg,New World Pictures,CANADA,Body Horror|Gothic,87,G,"10,000,000","30,655,121",6.1,21938
3740,  High Tension ,2003/07/13,Alexandre Aja,EuropaCorp,France,Zombie|Kaiju,161 min,G,"$1,500,000",$12580491,4.6,261819
3402,The Sixth Sense,1999/08/05,M. Night Shyamalan,Buena Vista,us,Comedy Horror,157min,G,300000,$3957945,5.3,80402
1319,I Walked with a Zombie,10/26/1943,Jacques Tourneur,RKO Radio Pictures,USA ,Found Footage,144,R,"300,000",2896340,8.9,266428
4640,A Quiet Place,16-02-2018,John Krasinski,Paramount Pictures,USA ,Supernatural,100,Not Rated,$300000,"$3,147,005",8.7,139005
2492,Dawn of the Dead,3/12/1978,George Romero,United Film Distribution,U.S.A.,Werewolf,135 min,Unrated,"10,000,000",44664160,8.1,423533
3534,The Others,2001-07-07,Alejandro Amenabar,WARNER BROS.,Spain,Splatter,160,G,"$10,000,000","55,008,994",8.7,2172
1910,Kwaidan,05/20/1964,Masaki Kobayashi,TOHO,Japan,Comedy Horror|Gothic,152,,$50000,"$403,655",6.6,138124
2134,The Exorcist,1973/08/26,William Friedkin,WARNER BROS.,United States,Haunted House|Vampire,105min,PG,"$1,500,000","3,109,059",7.9,374734
3421,Battle Royale,02/02/2000,Kinji Fukasaku,Toei,JAPAN,Found Footage,105min,PG-13,USD 1500000,"$10,261,807",7.7,193363
3434,Battle Royale,04/28/2000,Kinji Fukasaku,Toei,Japan,Found Footage,105,PG-13,"$1,500,000","$10,261,807",7.7,233201
4228,Sinister,09/10/2012,,Blumhouse Productions,USA ,Found Footage|Zombie,78,PG-13,,"66,545,124",5.4,386596
4849,Saint Maud,07/27/2019,Rose Glass,A-24,U.K.,Folk Horror|Supernatural,101,NC-17,3000000,9179482,8.4,335147
4638,A Quiet Place,2018/12/20,John Krasinski,paramount,USA ,Supernatural,100min,Not Rated,300000,"3,147,005",8.7,121380
4724,Suspiria,2018-01-26,Luca Guadagnino,Amazon Studios,italy,Folk Horror|Splatter,154 min,PG,"$300,000",$3561660,8.6,99644
5330,Titane,2021-03-16,Julia Ducournau,neon,france,Werewolf,1h 38m,PG-13,"$20,000,000","$191,227,230",4.7,120781
4356,It Follows,08/04/2014,David Robert Mitchell,Radius-TWC,USA ,Found Footage,93min,Unrated,USD 1500000,"$15,379,273",8.1,278375
4106,Martyrs,11/13/2008,Pascal Laugier,Wild Bunch,france,Psychological,116,G,USD 20000000,"$87,265,784",5.1,385565
3871,Wolf Creek,20-09-2005,Greg McLean,Roadshow,Australia,Vampire,110min,G,$6000000,"$46,531,729",7.5,292583
1828,The Haunting,1963/10/17,Robert Wise,MGM,U.K.,Splatter,90 min,Unrated,"1,500,000",10197106,7.7,385290
3757,Shaun of the Dead,10/21/2004,Edgar Wright,universal,United Kingdom,Cosmic Horror,74,PG-13,"10,000,000",73150220,8.6,666
4087,Martyrs,10-10-2008,Pascal Laugier,Wild Bunch,France,Psychological,1h 56m,G,"$20,000,000",$87265784,5.1,479146
2041,Night of the Living Dead,1968/08/15,George Romero,Image Ten,United States,Zombie,108min,G,$1500000,,8.1,137377
4362,GOODNIGHT MOMMY,24-02-2014,Veronika Franz,Ulrich Seidl Film,Austria,Giallo,,G,,"$165,609",6.1,117587
4920,Malignant,2021-06-02,James Wan,Warner Bros.,USA,Zombie,138 min,PG-13,$50000,"$583,939",7.5,429965
2929,Videodrome,1983-10-22,David Cronenberg,UNIVERSAL,CANADA,Supernatural,1h 10m,NC-17,$35000000,,7.4,415570
1656,Black Sunday,1960-07-14,,Galatea Film,italy,Supernatural|Psychological,113min,NC-17,"$50,000","$426,793",6.5,319495
1596,House on Haunted Hill,14-05-1959,William Castle,Allied Artists,U.S.A.,Cosmic Horror,2h 12m,PG-13,$300000,"$4,138,573",6.0,454105
4602,It,2017-03-08,Andy Muschietti,warner bros.,United States,Zombie|Giallo,1h 29m,NC-17,"1,500,000",1773625,5.8,456151
2812,The Thing,11-08-1982,John Carpenter,Universal Pictures,USA ,Folk Horror|Psychological,79min,R,$3000000,"21,098,115",8.6,161090
1757,The Innocents,1961/06/10,Jack Clayton,20th Century Fox,UK,Splatter,122 min,NC-17,1500000,"19,063,753",7.0,362026
2324,Suspiria,1977-04-16,Dario Argento,Seda Spettacoli,ITALY,Occult,2h 25m,Unrated,USD 35000000,USD 113427337,8.9,204504
1208,Bride of Frankenstein,11-01-1935,James Whale,Universal  ,United States,Giallo,83,PG-13,"6,000,000","69,360,250",8.0,355560
1042,The Phantom of the Opera,06-07-1925,Rupert Julian,Universal  ,United States,Splatter|Haunted House,154 min,NC-17,$750000,4135308,6.1,87165
2450,Halloween,1978-10-08,,Compass International,USA ,Supernatural,164,,"$10,000,000",USD 129695880,6.8,460275
1258,The Wolf Man,1941/05/05,George Waggner,UNIVERSAL,U.S.A.,Psychological,2h 6m,Not Rated,"35,000,000","$341,406,775",5.4,448598
1467,GODZILLA,1/4/1954,Ishiro Honda,Toho Co.,Japan,Cosmic Horror,160,PG-13,"$6,000,000","$47,256,128",,357229
3034,Re-Animator,1/14/1985,Stuart Gordon,Empire Pictures,USA ,Body Horror,2h 20m,Unrated,"$120,000","$1,181,119",9.0,27767
3057,The Fly,6/1/1986,David Cronenberg,20th Century Fox,United States,Cosmic Horror,104,R,35000000,"$407,590,945",7.8,11418
5158,  The Substance ,2024/05/28,Coralie Fargeat,Mubi,france,Psychological,75,NC-17,"50,000","$101,442",8.3,104618
1590,House on Haunted Hill,02-12-1959,William Castle,Allied Artists,USA ,Cosmic Horror,2h 12m,PG-13,,"$4,138,573",6.0,292328
3981,REC,03-12-2007,,Filmax,Spain,Zombie,144,PG,,$126904732,7.4,184683
2244,Shivers,23-11-1975,David Cronenberg,Cinepix,CANADA,Cosmic Horror,2h 5m,PG,"$1,500,000",$18485513,8.0,82143
1357,The Thing from Another World,1951-08-19,Christian Nyby,RKO Radio Pictures,us,Giallo|Creature Feature,1h 21m,Unrated,USD 50000,"36,116",8.5,316231
4397,The Witch,2015/09/24,Robert Eggers,a24,USA,Haunted House|Body Horror,93,PG,$35000000,"$242,985,712",8.2,437368
1791,carnival of souls,04/12/1962,Herk Harvey,Herts-Lion International,USA ,Body Horror,1h 40m,PG,20000000,"22,553,699",8.7,256087
2653,Cannibal Holocaust,11-02-1980,Ruggero Deodato,United Artists Europa,Italy,Gothic,126,NC-17,USD 120000,$270483,6.4,135735
4186,The Cabin in the Woods,2011/11/05,Drew Goddard,Lionsgate,United States,Body Horror,107 min,Not Rated,"$35,000,000","16,820,487",7.4,122834
2017,Rosemary's Baby,01-11-1968,Roman Polanski,Paramount,USA,Giallo,137,PG,"$20,000,000","$7,001,250",6.7,198437
1677,Black Sunday,12/18/1960,Mario Bava,Galatea Film,italy,Supernatural|Psychological,113min,NC-17,"$50,000","$426,793",6.5,348096
1440,Creature from the Black Lagoon,12/24/1954,Jack Arnold,Universal  ,U.S.A.,Psychological|Cosmic Horror,80,PG,$10000000,"$131,198,528",,58855
2098,THE WICKER MAN,19-03-1973,Robin Hardy,British Lion Films,United Kingdom,Zombie,77,Unrated,"$6,000,000","$4,977,047",5.9,154133
3418,The Sixth Sense,12-04-1999,M. Night Shyamalan,Buena Vista,U.S.A.,Comedy Horror,157,G,$300000,USD 3957945,5.3,244009
4867,Saint Maud,04-08-2019,Rose Glass,A24,United Kingdom,Folk Horror|Supernatural,101,NC-17,"$3,000,000","9,179,482",8.4,256397
4109,Martyrs,2008-04-23,Pascal Laugier,Wild Bunch,France,Psychological,116 min,G,$20000000,"$87,265,784",5.1,429017
2392,rabid,12-06-1977,David Cronenberg,Cinepix,Canada,Splatter,81 min,G,"$1,500,000",USD 693556,7.4,24751
4259,The Conjuring,7/22/2013,James Wan,WARNER BROS.,USA ,Werewolf,1h 31m,Unrated,"$50,000",75128,9.0,68974
4068,Let the Right One In,05/20/2008,Tomas Alfredson,Sandrew Metronome,Sweden,Occult,162,Unrated,,"249,436",5.9,163986
4536,  Raw ,4/4/2016,Julia Ducournau,Wild Bunch,FRANCE,Folk Horror|Cosmic Horror,156,R,300000,,8.5,392235
1893,onibaba,02-04-1964,Kaneto Shindo,TOHO,Nippon,Supernatural|Found Footage,,PG,$35000000,"254,458,145",6.4,369991
2988,A Nightmare on Elm Street,1984-08-21,Wes Craven,New Line Cinema,us,Werewolf,1h 57m,Not Rated,"1,500,000","$10,311,433",5.9,297223
2777,Scanners,16-03-1981,David Cronenberg,Avco Embassy,canada,Found Footage,130,PG,,"$325,820,643",8.9,213356
5256,Scanners,14-02-1981,David Cronenberg,Avco Embassy,CANADA,Found Footage,130,PG,$35000000,"$325,820,643",,316225
1986,Kill Baby Kill,10/06/1966,Mario Bava,FUL Films,Italy,Vampire,72,Unrated,"$6,000,000","$49,406,007",6.1,75691
5232,Nosferatu,2024/10/22,Robert Eggers,Focus Features,us,Occult,135,Not Rated,"$10,000,000","$23,048,052",7.7,305944
3495,The Devil's Backbone,25-10-2001,Guillermo del Toro,Warner Sogefilms,Spain,Gothic,117 min,PG-13,750000,"$555,817",6.6,154589
2131,The Exorcist,08/11/1973,William Friedkin,Warner Bros.,us,Haunted House|Vampire,105 min,PG,"1,500,000","$3,109,059",7.9,401606
4665,A Quiet Place,2/7/2018,John Krasinski,Paramount Pictures,U.S.A.,Supernatural,100,Not Rated,"300,000","3,147,005",8.7,132047
1543,Horror of Dracula,22-05-1958,Terence Fisher,Hammer Films,UK,Found Footage,117,R,,"$99,981,464",8.6,322538
2508,  Alien ,7/25/1979,Ridley Scott,20th Century Fox,United Kingdom,Occult|Creature Feature,116,G,"$10,000,000",15461470,6.4,205270
3585,28 Days Later,07/15/2002,Danny Boyle,Fox Searchlight,United Kingdom,Folk Horror,147,,$6000000,25855318,8.7,116586
5061,  Skinamarink ,2022-07-19,Kyle Edward Ball,IFC Midnight,Canada,Splatter,2h 41m,G,"$1,500,000",,5.1,110319
4982,Barbarian,2022/09/05,Zach Cregger,20th Century Studios,us,Cosmic Horror|Giallo,118min,R,"$3,000,000","$12,536,957",7.6,27439
1408,House of Wax,09/24/1953,Andre de Toth,Warner Bros,USA,Kaiju|Gothic,72,,"$10,000,000",,8.2,260502
3514,The Others,06-03-2001,Alejandro Amenabar,WARNER BROS.,Spain,Splatter,160 min,G,10000000,55008994,8.7,461918
4970,Barbarian,2022/04/05,Zach Cregger,20th Century Studios,United States,Cosmic Horror|Giallo,1h 58m,R,3000000,USD 12536957,7.6,265608
1724,PEEPING TOM,08/14/1960,Michael Powell,Anglo-Amalgamated,England,Werewolf,96,,,"$16,521,182",8.0,436041
3896,Pan's Labyrinth,27-06-2006,Guillermo del Toro,Warner Bros. Pictures,Spain,Folk Horror,91,Unrated,$300000,"$806,854",4.6,382753
1759,The Innocents,6/5/1961,Jack Clayton,20th Century Fox,UK,Splatter,122,NC-17,,19063753,7.0,194147
1201,Bride of Frankenstein,1935/09/19,James Whale,Universal Pictures,us,Giallo,83,PG-13,"6,000,000","$69,360,250",8.0,376783
2986,A Nightmare on Elm Street,11/15/1984,Wes Craven,New Line,U.S.A.,Werewolf,,,"$1,500,000","$10,311,433",5.9,455683
3328,audition,1999/09/25,Takashi Miike,Omega Project,JAPAN,Psychological|Occult,160 min,Unrated,$6000000,"$33,618,699",8.3,436224
2894,The Beyond,08/22/1981,Lucio Fulci,Fulvia Film,italy,Gothic,160,Not Rated,,$32305279,7.1,6796
3920,The Host,13-10-2006,Bong Joon-ho,Showbox,South Korea,Slasher,83,NC-17,"$3,000,000","$33,187,930",9.0,252193
1808,The Birds,6/7/1963,Alfred Hitchcock,Universal,us,Slasher|Psychological,106,PG-13,$3000000,USD 34881029,5.2,230088
1669,Black Sunday,04-01-1960,Mario Bava,Galatea Film,ITALY,Supernatural|Psychological,113 min,NC-17,50000,USD 426793,6.5,309442
2323,Suspiria,06/01/1977,Dario Argento,Seda Spettacoli,ITALY,Occult,145,Unrated,"35,000,000","$113,427,337",8.9,41494
5286,Witchfinder General,09/04/1968,Michael Reeves,Tigon,U.K.,Giallo,153,Unrated,"$10,000,000",USD 136636027,8.5,421855
4749,  Us ,11/01/2019,Jordan Peele,Universal  ,United States,Psychological,131 min,PG,,USD 40925924,6.6,332829
2165,Don't Look Now,03/19/1973,Nicolas Roeg,Casey Productions,England,Zombie|Found Footage,121min,R,"3,000,000",,5.4,289312
2549,ZOMBIE FLESH EATERS,10/17/1979,Lucio Fulci,Variety Film,Italy,Vampire,142,PG,20000000,"$61,567,279",8.7,53856
2620,The Shining,1980-01-15,Stanley Kubrick,Warner Bros,us,Psychological|Supernatural,2h 31m,Not Rated,$750000,,6.8,135981
2367,Eraserhead,1977-01-01,,Libra Films,us,Zombie,149,PG-13,,39909840,8.3,83757
4205,The Cabin in the Woods,9/9/2011,Drew Goddard,Lionsgate,us,Body Horror,107,Not Rated,35000000,"16,820,487",7.4,41057
1172,The Invisible Man,1933/12/18,James Whale,Universal Pictures,USA ,Vampire,157min,,20000000,"$208,181,238",5.8,356649
3797,  Saw ,05/22/2004,James Wan,Lions Gate,USA,Occult,75,Not Rated,"$10,000,000","126,782,523",,188292
2591,The Shining,12/15/1980,Stanley Kubrick,WARNER BROS.,us,Psychological|Supernatural,,Not Rated,$750000,2789629,6.8,90126
2743,An American Werewolf in London,11/19/1981,John Landis,UNIVERSAL,United Kingdom,Cosmic Horror,89,Unrated,50000,USD 400014,8.8,267664
3992,The Orphanage,11/3/2007,J.A. Bayona,Warner Bros. Pictures,Spain,Creature Feature|Haunted House,145,R,"$20,000,000",220449652,5.4,69218
3925,The Host,28-10-2006,Bong Joon-ho,Showbox,S. Korea,Slasher,1h 23m,NC-17,"$3,000,000","33,187,930",9.0,92409
4395,The Witch,8/17/2015,Robert Eggers,A-24,us,Haunted House|Body Horror,93 min,,"$35,000,000","$242,985,712",8.2,119121
1390,House of Wax,03/17/1953,Andre de Toth,Warner Bros,USA,Kaiju|Gothic,72 min,,,90384239,8.2,391788
3452,Battle Royale,2000-08-25,Kinji Fukasaku,Toei,Nippon,Found Footage,105min,PG-13,1500000,"$10,261,807",7.7,459117
1176,The Invisible Man,11/23/1933,James Whale,Universal,USA,Vampire,157 min,Not Rated,20000000,208181238,5.8,239825
1231,The Wolf Man,28-02-1941,George Waggner,Universal,USA ,Psychological,126 min,Not Rated,$35000000,"341,406,775",5.4,33013
1762,The Innocents,5/14/1961,Jack Clayton,20th Century Fox,UK,Splatter,,NC-17,1500000,"19,063,753",7.0,475879
1961,Repulsion,7/5/1965,Roman Polanski,Compton Films,UK,Cosmic Horror|Supernatural,142 min,PG,"300,000",$4103145,7.3,179304
2951,Videodrome,1983/12/13,David Cronenberg,UNIVERSAL,canada,Supernatural,70,NC-17,35000000,"$391,950,781",7.4,262296
3674,Dark Water,2002-03-09,Hideo Nakata,TOHO,JAPAN,Comedy Horror,2h 37m,R,750000,,5.4,371639
4420,Green Room,2015/03/20,Jeremy Saulnier,a24,USA ,Body Horror,94 min,G,750000,9129839,9.0,309367
4646,A Quiet Place,2018/06/13,John Krasinski,Paramount Pictures,USA,Supernatural,100,Not Rated,300000,"$3,147,005",8.7,170001
5009,Pearl,2022/04/03,Ti West,A24,USA,Cosmic Horror,144,G,"3,000,000","36,671,785",7.5,268655
2217,Deep Red,14-08-1975,Dario Argento,Rizzoli Film,ITALY,Supernatural,1h 52m,Not Rated,$10000000,USD 14234893,8.9,205900
5326,AN AMERICAN WEREWOLF IN LONDON,01-07-1981,John Landis,Universal,UK,Cosmic Horror,1h 29m,Unrated,"$50,000",USD 400014,8.8,243577
2801,  Possession ,1981/06/02,Andrzej Zulawski,Gaumont,france,Vampire,162,R,USD 35000000,252848869,7.3,11766
3785,Saw,2004-02-23,James Wan,Lions Gate,us,Occult,75 min,Not Rated,"$10,000,000",USD 126782523,6.1,421720
1899,Kwaidan,10/10/1964,Masaki Kobayashi,TOHO,Nippon,Comedy Horror|Gothic,152,PG-13,"50,000",403655,6.6,251669
3326,Audition,4/24/1999,,Omega Project,Nippon,Psychological|Occult,160min,,"6,000,000",,8.3,224507
3053,The Fly,05/11/1986,David Cronenberg,20th Century Fox,USA,Cosmic Horror,1h 44m,R,35000000,"$407,590,945",7.8,470926
4175,Insidious,20-05-2010,James Wan,Blumhouse,USA ,Kaiju,122 min,Not Rated,"$300,000","636,169",5.8,416487
2948,Videodrome,8/22/1983,David Cronenberg,universal,CANADA,Supernatural,70 min,NC-17,"35,000,000",USD 391950781,7.4,3314
3097,  Hellraiser ,1987-12-07,Clive Barker,New World Pictures,United Kingdom,Slasher,1h 38m,G,"$50,000","$269,251",6.8,3860
3645,Ju-on The Grudge,2002/09/19,Takashi Shimizu,Toei,Nippon,Slasher,113 min,Unrated,"$120,000","547,265",5.4,271132
1303,I Walked with a Zombie,1943/03/28,Jacques Tourneur,RKO Radio Pictures,USA ,Found Footage,144,R,"$300,000",$2896340,8.9,182096
1299,I Walked with a Zombie,1943-12-24,Jacques Tourneur,RKO Radio Pictures,us,Found Footage,144 min,R,300000,"2,896,340",8.9,387504
3857,WOLF CREEK,2005-09-15,Greg McLean,Roadshow,Australia,Vampire,110,G,$6000000,"46,531,729",7.5,373698
1338,The Uninvited,03-06-1944,Lewis Allen,Paramount,United States,Found Footage,2h 5m,Unrated,,55760,8.7,372499
3794,Saw,13-04-2004,James Wan,Lions Gate,us,Occult,1h 15m,Not Rated,"$10,000,000","$126,782,523",6.1,429393
3149,Tetsuo the Iron Man,1989/07/15,Shinya Tsukamoto,Kaijyu Theater,Japan,Vampire,165,PG-13,20000000,USD 255667125,6.4,198198
2672,Cannibal Holocaust,7/4/1980,Ruggero Deodato,United Artists Europa,Italy,Gothic,126,NC-17,$120000,270483,6.4,245801
4700,Suspiria,09/12/2018,Luca Guadagnino,Amazon Studios,ITALY,Folk Horror|Splatter,2h 34m,PG,$300000,$3561660,8.6,140658
3726,High Tension,2/9/2003,Alexandre Aja,EuropaCorp,FRANCE,Zombie|Kaiju,161min,G,"$1,500,000",$12580491,4.6,123098
5206,Longlegs,2024/07/20,Osgood Perkins,Neon,USA ,Gothic,160 min,NC-17,"$10,000,000",,6.0,378559
2479,Dawn of the Dead,1978-02-25,George Romero,United Film Distribution,U.S.A.,Werewolf,135,Unrated,"$10,000,000","44,664,160",8.1,22146
5151,  Late Night with the Devil ,2023-08-08,Colin Cairnes,IFC Films,Australia,Psychological,70 min,,6000000,44680381,8.2,350187
1011,Nosferatu,2/3/1922,F.W. Murnau,Prana Film,Germany,Kaiju,1h 36m,Unrated,$35000000,"$186,704,614",5.9,40582
4266,The Conjuring,08/13/2013,James Wan,Warner Bros.,USA ,Werewolf,91min,,,75128,9.0,284233
2378,Eraserhead,9/8/1977,David Lynch,Libra Films,USA ,Zombie,149 min,PG-13,"3,000,000",39909840,8.3,331323
2877,The Beyond,1981/11/02,Lucio Fulci,Fulvia Film,ITALY,Gothic,160,Not Rated,,"$32,305,279",7.1,419042
1622,house on haunted hill,1959-03-23,William Castle,Allied Artists,United States,Cosmic Horror,2h 12m,,"$300,000","$4,138,573",6.0,418538
1276,Cat People,1942-10-18,,RKO Radio Pictures,United States,Werewolf|Creature Feature,74,Not Rated,"300,000","$927,054",6.8,401470
1822,The Haunting,11/17/1963,Robert Wise,MGM,United Kingdom,Splatter,90 min,Unrated,"$1,500,000",10197106,7.7,99616
1592,house on haunted hill,12-07-1959,William Castle,Allied Artists,United States,Cosmic Horror,132min,PG-13,"$300,000","$4,138,573",6.0,37728
1673,Black Sunday,1960/02/08,Mario Bava,Galatea Film,Italy,Supernatural|Psychological,113,NC-17,,,,286583
3143,Tetsuo the Iron Man,1989/04/06,Shinya Tsukamoto,Kaijyu Theater,Japan,Vampire,2h 45m,PG-13,USD 20000000,"255,667,125",6.4,76281
1391,House of Wax,01/17/1953,Andre de Toth,WARNER BROS.,USA ,Kaiju|Gothic,72min,G,"10,000,000",90384239,8.2,229135
1951,Repulsion,1965-05-10,Roman Polanski,Compton Films,United Kingdom,Cosmic Horror|Supernatural,142 min,PG,300000,"$4,103,145",7.3,423875
3043,Re-Animator,18-12-1985,Stuart Gordon,Empire Pictures,USA,Body Horror,140,Unrated,,"$1,181,119",9.0,467102
